veracity,statement,light_normalization
True,"""To vote in Mexico every eligible Mexican citizen has to have a tamper-proof photo-ID card with a thumbprint and an embossed hologram.""","""to vote in mexico every eligible mexican citizen has to have a tamper-proof photo-id card with a thumbprint and an embossed hologram."""
True,"""Last year, we had zero percent growth in GDP in Virginia ...The only states that did worse than us were Alaska and Mississippi.""","""last year, we had zero percent growth in gdp in virginia ...the only states that did worse than us were alaska and mississippi."""
True,"""There are actually only 30 countries that practice birthright citizenship.""","""there are actually only 30 countries that practice birthright citizenship."""
True,"""Less than half of the poorest American households have a home Internet subscription.""","""less than half of the poorest american households have a home internet subscription."""
True,"""The Republican presidential nominee hasn’t won women since 1988.""","""the republican presidential nominee hasnt won women since 1988."""
False,"""Almost 95 percent of all (Planned Parenthood) pregnancy services were abortions.""","""almost 95 percent of all (planned parenthood) pregnancy services were abortions."""
False,"""The law says ... when a police officer stops you, do whatever he says and then deal with it later.""","""the law says ... when a police officer stops you, do whatever he says and then deal with it later."""
True,"""The majority of the Hispanic population and the growth (of the population) is U.S.-born.""","""the majority of the hispanic population and the growth (of the population) is u.s.-born."""
False,"""House Republicans just passed a bill that makes it legal for single mothers to be fired by their employers.""","""house republicans just passed a bill that makes it legal for single mothers to be fired by their employers."""
True,"""With the exception of baby formula, the federal government does not require any food to carry an expiration date, and state laws vary widely.""","""with the exception of baby formula, the federal government does not require any food to carry an expiration date, and state laws vary widely."""
True,"""In New Orleans, nearly 100 percent of our kids are in charter schools.""","""in new orleans, nearly 100 percent of our kids are in charter schools."""
False,"""We don’t have a (military) reserve force if something happens.""","""we dont have a (military) reserve force if something happens."""
False,"""50 percent of murders in Texas have been linked to illegal aliens.""","""50 percent of murders in texas have been linked to illegal aliens."""
True,"""More than half of women under 30 who give birth do so outside of marriage...""","""more than half of women under 30 who give birth do so outside of marriage..."""
False,"""The profit [from automated traffic enforcement cameras] is going to the private corporations, not to the city or state.""","""the profit [from automated traffic enforcement cameras] is going to the private corporations, not to the city or state."""
True,"""Our reserves are now in much better shape than they were just a few years ago.""","""our reserves are now in much better shape than they were just a few years ago."""
True,"""Fox News barely covered (the Duggar family) scandal until Megyn Kelly was able to secure this interview.""","""fox news barely covered (the duggar family) scandal until megyn kelly was able to secure this interview."""
False,"""Most polls show foreign nations have lower regard for the U.S. now than they did before Obama’s time.""","""most polls show foreign nations have lower regard for the u.s. now than they did before obamas time."""
False,"""The American murder rate is 50 times that of any other developed nation.""","""the american murder rate is 50 times that of any other developed nation."""
False,"""Once a woman enters into the sex trade, her average life expectancy is seven years.""","""once a woman enters into the sex trade, her average life expectancy is seven years."""
True,"""The United States is one of only seven nations that allows elective abortions after 20 weeks post-fertilization.""","""the united states is one of only seven nations that allows elective abortions after 20 weeks post-fertilization."""
False,"""The proportion of Rhode Islanders entering substance abuse treatment primarily due to marijuana use has reached its highest point in 20 years.""","""the proportion of rhode islanders entering substance abuse treatment primarily due to marijuana use has reached its highest point in 20 years."""
True,"""During the Bush administration, you actually had a prominent liberal write a book about how Bush was preparing for a fascist takeover of this country.""","""during the bush administration, you actually had a prominent liberal write a book about how bush was preparing for a fascist takeover of this country."""
True,"""The people of Tiverton have historically supported [gambling measures] at a rate higher than the rest of the state.""","""the people of tiverton have historically supported [gambling measures] at a rate higher than the rest of the state."""
True,"""Of the 13 (Bill) Clinton speeches that fetched $500,000 or more, only two occurred during the years his wife was not secretary of state.""","""of the 13 (bill) clinton speeches that fetched $500,000 or more, only two occurred during the years his wife was not secretary of state."""
True,"""The unemployment rate among blacks in Texas is 9.5% -- far more than double white unemployment -- and wages have fallen for black workers in Texas since 2000.""","""the unemployment rate among blacks in texas is 9.5% -- far more than double white unemployment -- and wages have fallen for black workers in texas since 2000."""
True,"""The fastest-growing part of the Pentagon’s budget are health care expenses.""","""the fastest-growing part of the pentagons budget are health care expenses."""
True,"""More than 30 cents of every state tax dollar goes to Medicaid.""","""more than 30 cents of every state tax dollar goes to medicaid."""
False,"""ISIS camp a few miles from Texas, Mexican authorities confirm.""","""isis camp a few miles from texas, mexican authorities confirm."""
False,"""The elimination of essentially every automobile would be offset by one volcano exploding.""","""the elimination of essentially every automobile would be offset by one volcano exploding."""
False,"""The president and vice president can't be from the same state.""","""the president and vice president can't be from the same state."""
False,"""U.S. police killed more people in just one month than the U.K.’s did in over a century.""","""u.s. police killed more people in just one month than the u.k.s did in over a century."""
False,"""You know how many children in the history of the United States have died in a fire (at school)? Zero.""","""you know how many children in the history of the united states have died in a fire (at school)? zero."""
True,"""Did you know that the U.S. is one of the very few nations in the world without an official language?""","""did you know that the u.s. is one of the very few nations in the world without an official language?"""
False,"""White men account for 69 percent of those arrested for violent crimes.""","""white men account for 69 percent of those arrested for violent crimes."""
True,"""White people control almost 90 percent of the nation's wealth.""","""white people control almost 90 percent of the nation's wealth."""
False,"""More than 7,000 Americans lost their lives to climate change-fueled events last year.""","""more than 7,000 americans lost their lives to climate change-fueled events last year."""
False,"""We've seen the increase of alcohol use for underage kids even though alcohol has been illegal ... for kids under 21.""","""we've seen the increase of alcohol use for underage kids even though alcohol has been illegal ... for kids under 21."""
True,"""Research performed by economists has shown no consistent, positive impact on jobs, income or tax revenues arising from stadiums or sports franchises.""","""research performed by economists has shown no consistent, positive impact on jobs, income or tax revenues arising from stadiums or sports franchises."""
False,"""Abortions account for 94 percent of the services provided for pregnant women by Planned Parenthood.""","""abortions account for 94 percent of the services provided for pregnant women by planned parenthood."""
False,"""Nine hundred people have been fired since I became secretary (of Veterans Affairs). We’ve got 60 people that we fired who have manipulated wait times.""","""nine hundred people have been fired since i became secretary (of veterans affairs). weve got 60 people that we fired who have manipulated wait times."""
True,"""The 2012 National Survey on Drug Use and Health found that up to half of daily marijuana smokers become addicted -- an estimated 2.7 million people in the U.S.""","""the 2012 national survey on drug use and health found that up to half of daily marijuana smokers become addicted -- an estimated 2.7 million people in the u.s."""
True,"""There are countries in Africa where they have higher vaccination rates than here in the United States.""","""there are countries in africa where they have higher vaccination rates than here in the united states."""
True,"""If someone is in a room that has measles and leaves and you walk in two hours later, you could get measles from that person.""","""if someone is in a room that has measles and leaves and you walk in two hours later, you could get measles from that person."""
True,"""Measles is one of the most common causes of child blindness worldwide.""","""measles is one of the most common causes of child blindness worldwide."""
True,"""GEORGIA ROADWAY FATALITIES THIS YEAR: 59

PLEASE DRIVE SAFELY""","""georgia roadway fatalities this year: 59 please drive safely"""
False,"""It will cost $50,000 per enrollee in Obamacare over the next 10 years.""","""it will cost $50,000 per enrollee in obamacare over the next 10 years."""
True,"""Colorado raked in $60 million in marijuana taxes and licensing fees in the past year.""","""colorado raked in $60 million in marijuana taxes and licensing fees in the past year."""
False,"""When Disney was looking to build Disney World, they came to Miami and we told Disney to take a hike.""","""when disney was looking to build disney world, they came to miami and we told disney to take a hike."""
True,"""We're now the No. 1 producer of oil in the world. We've surpassed Saudi Arabia.""","""we're now the no. 1 producer of oil in the world. we've surpassed saudi arabia."""
True,"""The President has decided to move forward with executive actions on immigration that he has said on numerous occasions that he didn’t have the constitutional power to take.""","""the president has decided to move forward with executive actions on immigration that he has said on numerous occasions that he didnt have the constitutional power to take."""
True,"""Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago.""","""texas families have kept more than $10 billion in their family budgets since we successfully fought to restore texas' sales tax deduction a decade ago."""
False,"""According to HUD, it is patently unfair and socially unjust that wealthy people can live in an exclusive neighborhood.""","""according to hud, it is patently unfair and socially unjust that wealthy people can live in an exclusive neighborhood."""
True,"""The United States right now incarcerates more African-Americans as a percentage than apartheid South Africa did.""","""the united states right now incarcerates more african-americans as a percentage than apartheid south africa did."""
False,"""There is no good data showing secondhand smoke kills people.""","""there is no good data showing secondhand smoke kills people."""
True,"""Mike Martinez cut a deal with prosecutors to avoid facing possible jail time and stuck us with his $24,657.50 legal bill.""","""mike martinez cut a deal with prosecutors to avoid facing possible jail time and stuck us with his $24,657.50 legal bill."""
True,"""There are more African American men in prison, jail, on probation or parole than were enslaved in 1850.""","""there are more african american men in prison, jail, on probation or parole than were enslaved in 1850."""
True,"""Turkeys today weigh 29.8 pounds. In the ‘30s, they weighed 13.2 pounds.""","""turkeys today weigh 29.8 pounds. in the 30s, they weighed 13.2 pounds."""
False,"""In Rhode Island, a recent study showed that among a group of people who had been homeless for a year or more, Medicaid costs averaged about $60,000 per person.""","""in rhode island, a recent study showed that among a group of people who had been homeless for a year or more, medicaid costs averaged about $60,000 per person."""
False,"""Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.""","""families in del valle, who are city of austin residents, have to drive to bastrop to go to the closest grocery store."""
False,"""We’re above 800 million Muslims radicalized, more than half the Muslims on Earth That’s not a minority. That’s now a majority.""","""were above 800 million muslims radicalized, more than half the muslims on earth thats not a minority. thats now a majority."""
False,"""Jeanne Shaheen was principally involved in a plot with Lois Lerner and President Barack Obama’s political appointee at the IRS to lead a program of harassment against conservative nonprofit groups during the 2012 election""","""jeanne shaheen was principally involved in a plot with lois lerner and president barack obamas political appointee at the irs to lead a program of harassment against conservative nonprofit groups during the 2012 election"""
True,"""Kansas has not elected somebody other than a Republican (to the U.S. Senate) since before 'The Wizard of Oz' hit the movie theaters.""","""kansas has not elected somebody other than a republican (to the u.s. senate) since before 'the wizard of oz' hit the movie theaters."""
True,"""Before World War II, very few people actually had health insurance.""","""before world war ii, very few people actually had health insurance."""
False,"""Scott Walker opposed a plan to help Wisconsin students refinance their student loans.""","""scott walker opposed a plan to help wisconsin students refinance their student loans."""
True,"""Governor Carcieri has not been campaigning with me.""","""governor carcieri has not been campaigning with me."""
True,"""Ninety-five percent of Oregonians now have health insurance coverage, tens of thousands for the very first time.""","""ninety-five percent of oregonians now have health insurance coverage, tens of thousands for the very first time."""
True,"""In the past three years, we have prosecuted or brought more cases on access to public records than in the previous 12 years combined.""","""in the past three years, we have prosecuted or brought more cases on access to public records than in the previous 12 years combined."""
False,"""All four on Mount Rushmore, they were all independents at one critical point in their career.""","""all four on mount rushmore, they were all independents at one critical point in their career."""
False,"""We know from the social science that children do best with a mom and a dad.""","""we know from the social science that children do best with a mom and a dad."""
False,"""20,000 Kansans lost their health insurance because of (Obamacare).""","""20,000 kansans lost their health insurance because of (obamacare)."""
False,"""The only candidate pocketing big money from people who want to destroy coal is Mitch McConnell.""","""the only candidate pocketing big money from people who want to destroy coal is mitch mcconnell."""
True,"""TSA WILL ACCEPT DRIVERS PRIV CARDS FOR ID AT THE AIRPORT""","""tsa will accept drivers priv cards for id at the airport"""
True,"""We have a retiree that is collecting a $17,000 paycheck a month . . . tax free.""","""we have a retiree that is collecting a $17,000 paycheck a month . . . tax free."""
True,"""[When I was mayor] Providence was one of the five renaissance cities of America, according to USA Today in those days. Money magazine said it was the fifth best city to live in in America. In addition to that, All Cities Almanac said in 1994, I believe, that it was the safest city in America.""","""[when i was mayor] providence was one of the five renaissance cities of america, according to usa today in those days. money magazine said it was the fifth best city to live in in america. in addition to that, all cities almanac said in 1994, i believe, that it was the safest city in america."""
False,"""I recently had the opportunity to vote to give the president limited authority to begin strikes against terrorists in Iraq and Syria.""","""i recently had the opportunity to vote to give the president limited authority to begin strikes against terrorists in iraq and syria."""
False,"""In 2001 and '02 . . . we had the pension system funded at (the) 100% level in that year, and we did for two years at that point.""","""in 2001 and '02 . . . we had the pension system funded at (the) 100% level in that year, and we did for two years at that point."""
False,"""Sen. Mark Begich cast the deciding vote in favor of President Obama’s authority to issue executive amnesty to illegal aliens.""","""sen. mark begich cast the deciding vote in favor of president obamas authority to issue executive amnesty to illegal aliens."""
True,"""Countries bombed: Obama 7, Bush 4""","""countries bombed: obama 7, bush 4"""
True,"""Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.""","""every time [the people from newport tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent."""
False,"""In 2011, (the Islamic State) attempted to attack Fort Knox.""","""in 2011, (the islamic state) attempted to attack fort knox."""
True,"""The state budget has increased almost $800 million a year in each of the last two years.""","""the state budget has increased almost $800 million a year in each of the last two years."""
False,"""Our men and women of the Guard have been forced to contact food banks to feed themselves.""","""our men and women of the guard have been forced to contact food banks to feed themselves."""
True,"""More than three women per day lose their lives at the hands of their partners.""","""more than three women per day lose their lives at the hands of their partners."""
False,"""You have 200,000 to 400,000 military veterans on the street in this country on any given day.""","""you have 200,000 to 400,000 military veterans on the street in this country on any given day."""
True,"""The president referred to the Syrian opposition just a few months ago as pharmacists and doctors, and so on.""","""the president referred to the syrian opposition just a few months ago as pharmacists and doctors, and so on."""
False,"""I sponsored the new Buy American law""","""i sponsored the new buy american law"""
False,"""There were fewer civilian casualties in Cambodia than there have been from American drone attacks.""","""there were fewer civilian casualties in cambodia than there have been from american drone attacks."""
False,"""Over the next two years, this $1.8 billion deficit will cost individual Wisconsinites $300 each, or $1,200 for families of four.""","""over the next two years, this $1.8 billion deficit will cost individual wisconsinites $300 each, or $1,200 for families of four."""
False,"""Obama admin gutted @ProjChildSafe budget to provide trigger locks and safety kits.""","""obama admin gutted @projchildsafe budget to provide trigger locks and safety kits."""
True,"""Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate.""","""eight out of the nine states with competitive senate races, hispanics make up less than 10 percent of the electorate."""
False,"""If black America were a country, it’d be the 15th wealthiest nation in the world.""","""if black america were a country, itd be the 15th wealthiest nation in the world."""
True,"""Wisconsin’s dead last in Midwest job growth.""","""wisconsins dead last in midwest job growth."""
False,"""I was able to go and buy an automatic weapon … Most people can go out and buy an automatic weapon.""","""i was able to go and buy an automatic weapon ... most people can go out and buy an automatic weapon."""
False,"""Nazi imagery [was used] by the Block for Governor campaign to describe supporters of Allan Fung for Governor.""","""nazi imagery [was used] by the block for governor campaign to describe supporters of allan fung for governor."""
False,"""If 20 million illegals vote, you can kiss the Second Amendment goodbye.""","""if 20 million illegals vote, you can kiss the second amendment goodbye."""
False,"""Having a baby is a leading cause of poverty spells in the United States.""","""having a baby is a leading cause of poverty spells in the united states."""
True,"""The minimum number of infrastructure (needs) in Atlanta is $900 million.""","""the minimum number of infrastructure (needs) in atlanta is $900 million."""
False,"""I've either balanced every budget or we turned back a surplus.""","""i've either balanced every budget or we turned back a surplus."""
False,"""The music industry is the biggest export from Africa after oil and gas.""","""the music industry is the biggest export from africa after oil and gas."""
False,"""What (the Obama administration is) going to come out with in the next several months is you're not even going to be able to burn coal very limitedly in the existing plants.""","""what (the obama administration is) going to come out with in the next several months is you're not even going to be able to burn coal very limitedly in the existing plants."""
False,"""The leader of ISIS was imprisoned by American troops and ordered released to Iraq by Obama administration in 2009.""","""the leader of isis was imprisoned by american troops and ordered released to iraq by obama administration in 2009."""
True,"""There has never been an alderman who has defeated an incumbent mayor in the history of this great city.""","""there has never been an alderman who has defeated an incumbent mayor in the history of this great city."""
True,"""It's been 17 years that we've had unemployment higher than the national average in Oregon.""","""it's been 17 years that we've had unemployment higher than the national average in oregon."""
False,"""The fundraising numbers are in, and our grassroots support is unmatched!""","""the fundraising numbers are in, and our grassroots support is unmatched!"""
False,"""The increase in the garbage tax that [Mayor Allan Fung] imposed in Cranston for some people has been as much as $200.""","""the increase in the garbage tax that [mayor allan fung] imposed in cranston for some people has been as much as $200."""
False,"""Last year, I was involved with an effort to to help prosecutors get their first pay raise in more than 10 years.""","""last year, i was involved with an effort to to help prosecutors get their first pay raise in more than 10 years."""
True,"""More women are graduating from college now than men.""","""more women are graduating from college now than men."""
False,"""Latinos now make up the majority population in Texas.""","""latinos now make up the majority population in texas."""
True,"""Black voter turnout in 2012 exceeded the rate of white voter turnout, even in the states with the strictest voter ID laws.""","""black voter turnout in 2012 exceeded the rate of white voter turnout, even in the states with the strictest voter id laws."""
False,"""74 percent of Republicans support the Affordable Care Act.""","""74 percent of republicans support the affordable care act."""
False,"""Without the financial resources provided by hunters to protect habitat and stop poachers, there would be no infrastructure for wildlife management.""","""without the financial resources provided by hunters to protect habitat and stop poachers, there would be no infrastructure for wildlife management."""
False,"""Thanks to #ObamaCare, average E.R. wait in California is 5 hours.""","""thanks to #obamacare, average e.r. wait in california is 5 hours."""
False,"""As Alaska’s attorney general, (U.S. Senate candidate Dan) Sullivan successfully fought to protect our Second Amendment rights and passed ‘stand your ground.’ ""","""as alaskas attorney general, (u.s. senate candidate dan) sullivan successfully fought to protect our second amendment rights and passed stand your ground. """
False,"""The platform of the Republican Party says deport everybody and to hell with it.""","""the platform of the republican party says deport everybody and to hell with it."""
False,"""The government -- not the armed forces -- is stockpiling hundreds of millions of rounds of ammunition for domestic use.""","""the government -- not the armed forces -- is stockpiling hundreds of millions of rounds of ammunition for domestic use."""
False,"""Only after news broke that our veterans are dying because of inadequate health care did Harry Reid and Senate Democrats take action.""","""only after news broke that our veterans are dying because of inadequate health care did harry reid and senate democrats take action."""
True,"""At the beginning of World War II, we had a relatively small army, smaller than Portugal’s.""","""at the beginning of world war ii, we had a relatively small army, smaller than portugals."""
True,"""Cantor's campaign spent more at steakhouses than Brat spent on his entire campaign.""","""cantor's campaign spent more at steakhouses than brat spent on his entire campaign."""
True,"""Right now, America has $1.1 trillion of student debt. That’s more than credit card debt.""","""right now, america has $1.1 trillion of student debt. thats more than credit card debt."""
True,"""Public display of a long rifle is perfectly legal in Texas.""","""public display of a long rifle is perfectly legal in texas."""
True,"""Marijuana is less addictive than both alcohol and tobacco.""","""marijuana is less addictive than both alcohol and tobacco."""
True,"""The numbers make it clear that Georgia voters are increasingly taking advantage of early voting opportunities.""","""the numbers make it clear that georgia voters are increasingly taking advantage of early voting opportunities."""
False,"""Qataris don't really work.""","""qataris don't really work."""
False,"""Jeff Merkley was the deciding vote on Obamacare, which in Oregon has been an unmitigated disaster.""","""jeff merkley was the deciding vote on obamacare, which in oregon has been an unmitigated disaster."""
False,"""20 percent of the time (smart guns) won't work.""","""20 percent of the time (smart guns) won't work."""
False,"""Economic inequality in Multnomah County has a face -- and a name. It has 90,000 faces and names -- the number of county residents who are still unemployed, or underemployed, in the wake of the 2008 Wall Street crash.""","""economic inequality in multnomah county has a face -- and a name. it has 90,000 faces and names -- the number of county residents who are still unemployed, or underemployed, in the wake of the 2008 wall street crash."""
False,"""We were the last flag flying in Benghazi.""","""we were the last flag flying in benghazi."""
True,"""Ninety-seven percent of the time. That’s how often Mark Warner votes with President Obama.""","""ninety-seven percent of the time. thats how often mark warner votes with president obama."""
False,"""Health care premiums up 90 percent in New Hampshire.""","""health care premiums up 90 percent in new hampshire."""
True,"""I am the only senator who turned down the state pension plan for part-time legislators.""","""i am the only senator who turned down the state pension plan for part-time legislators."""
True,"""A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.""","""a white family is likely to have about six times as much wealth than a black or hispanic family coming out of the recession."""
False,"""In 2005, Dan Branch tried to expand third-trimester abortions in Texas.""","""in 2005, dan branch tried to expand third-trimester abortions in texas."""
True,"""In Rhode Island today, 25 percent of our households either don't have a bank account at all, or they have a bank account and they're still relying on high-cost financial services like payday loans, pawn shop check cashing and so on.""","""in rhode island today, 25 percent of our households either don't have a bank account at all, or they have a bank account and they're still relying on high-cost financial services like payday loans, pawn shop check cashing and so on."""
True,"""Did you know US population growth is at its lowest since the Great Depression?""","""did you know us population growth is at its lowest since the great depression?"""
False,"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews.""","""in the last couple of days, notices were sent (by officials in ukraine) to jews in one city indicating that they had to identify themselves as jews."""
False,"""Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?""","""did you know that in 2013 over 50 percent of all babies born in oregon were hispanic?"""
False,"""Eighty percent of Wall Street executives and their spouses' donations go to Democrats.""","""eighty percent of wall street executives and their spouses' donations go to democrats."""
True,"""From 1972 until 2011, the number of EPA employees increased by 107 percent while the number of total federal personnel decreased by 15 percent.""","""from 1972 until 2011, the number of epa employees increased by 107 percent while the number of total federal personnel decreased by 15 percent."""
True,"""The Capitol rotunda was actually made to invite the people in and to accommodate protests.""","""the capitol rotunda was actually made to invite the people in and to accommodate protests."""
True,"""In 2006, Charlie Crist opposed in-state tuition for illegal immigrants.""","""in 2006, charlie crist opposed in-state tuition for illegal immigrants."""
True,"""Women in Oregon are paid 79 cents for every dollar paid to men. If the wage gap was eliminated, a working woman in Oregon would have enough money for 2,877 gallons of gas, 72 more weeks of food for her family or nearly 12 more months of rent.""","""women in oregon are paid 79 cents for every dollar paid to men. if the wage gap was eliminated, a working woman in oregon would have enough money for 2,877 gallons of gas, 72 more weeks of food for her family or nearly 12 more months of rent."""
False,"""Before Congress, (Tom) Cotton got paid handsomely working for insurance companies and corporate interests.""","""before congress, (tom) cotton got paid handsomely working for insurance companies and corporate interests."""
True,"""The Koch brothers are one of the biggest polluters in the country.""","""the koch brothers are one of the biggest polluters in the country."""
True,"""Drone technology now allows an individual to be recorded in their homes by drones as small as birds and immediately uploaded to the internet.""","""drone technology now allows an individual to be recorded in their homes by drones as small as birds and immediately uploaded to the internet."""
True,"""When people enter the service, there’s not a mental health evaluation.""","""when people enter the service, theres not a mental health evaluation."""
False,"""The numbers of people that support Obamacare and like it have been steadily dropping.""","""the numbers of people that support obamacare and like it have been steadily dropping."""
False,"""Glenn Hegar promised to eliminate the property tax.""","""glenn hegar promised to eliminate the property tax."""
False,"""Ralph Hall has never voted to raise the debt ceiling.""","""ralph hall has never voted to raise the debt ceiling."""
True,"""Today’s marijuana is 300 percent to 800 percent more potent than the pot of yesteryear.""","""todays marijuana is 300 percent to 800 percent more potent than the pot of yesteryear."""
False,"""Kesha Rogers is not a Democrat.""","""kesha rogers is not a democrat."""
True,"""Ted Cruz has been to Iowa four times. Rio Grande Valley of Texas -- just once.""","""ted cruz has been to iowa four times. rio grande valley of texas -- just once."""
True,"""In Oregon, students are skipping math class to learn about the Bible.""","""in oregon, students are skipping math class to learn about the bible."""
True,"""American Hustle shows the FBI making real-life bribes to Washington politicians. I know, because as your U.S. senator, I turned them down.""","""american hustle shows the fbi making real-life bribes to washington politicians. i know, because as your u.s. senator, i turned them down."""
True,"""For every week that (state lawmakers are) able to cut off our timeline, it saves (Georgia taxpayers) approximately $100,000.""","""for every week that (state lawmakers are) able to cut off our timeline, it saves (georgia taxpayers) approximately $100,000."""
True,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""","""crimea became part of ukraine only in 1954. crimea was historically part of russia, and (nikita) khrushchev gave it to ukraine in a gesture that mystified some people."""
True,"""A majority of drunk driving deaths and injuries are caused by drunk driving offenders with no prior convictions.""","""a majority of drunk driving deaths and injuries are caused by drunk driving offenders with no prior convictions."""
True,"""Since 2009, Georgia's public schools have lost nearly 9,000 classroom teachers while the number of students has gone up.""","""since 2009, georgia's public schools have lost nearly 9,000 classroom teachers while the number of students has gone up."""
True,"""Six of Georgia’s counties have no lawyers at all.""","""six of georgias counties have no lawyers at all."""
True,"""It’s been 14 years since a president or a vice president or a member of their family has not gone and attended at least an event at the Olympics.""","""its been 14 years since a president or a vice president or a member of their family has not gone and attended at least an event at the olympics."""
True,"""Georgia has the fifth-highest number of uninsured people of any state in the union.""","""georgia has the fifth-highest number of uninsured people of any state in the union."""
False,"""Every year since Gov. Walker and the Republicans have been in control of the Legislature we’ve created fewer jobs, according to the Bureau of Labor Statistics.""","""every year since gov. walker and the republicans have been in control of the legislature weve created fewer jobs, according to the bureau of labor statistics."""
False,"""I played in a game here against the Pittsburgh Steelers where there was 23 inches of snow. … We played in at least 15 inches of that.""","""i played in a game here against the pittsburgh steelers where there was 23 inches of snow. ... we played in at least 15 inches of that."""
True,"""The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin.""","""the national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including wisconsin."""
False,"""We have the lowest beer tax in the nation.""","""we have the lowest beer tax in the nation."""
False,"""And we’ve constantly been the lowest unemployed county in the state.""","""and weve constantly been the lowest unemployed county in the state."""
False,"""Most of West Virginia is still owned, in excess of 90 percent, by out-of-state interests.""","""most of west virginia is still owned, in excess of 90 percent, by out-of-state interests."""
False,"""In some of the states in the U.S., homosexuality remains a felony.""","""in some of the states in the u.s., homosexuality remains a felony."""
True,"""Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.""","""trey radel does not even qualify to drive a lee county school bus at this point, yet he occupies a seat in congress."""
True,"""Only 3 percent of voters 18 to 34 don't believe that climate change is really happening.""","""only 3 percent of voters 18 to 34 don't believe that climate change is really happening."""
False,"""The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.""","""the amount of attention paid this week to chris christie makes the coverage of benghazi ... pale in significance."""
True,"""What do Rutgers University, Kean University, Montclair State University, New Jersey City University, Stockton College, Rowan University and William Paterson all have in common? They all graduate less than 50 percent of their students within four years.""","""what do rutgers university, kean university, montclair state university, new jersey city university, stockton college, rowan university and william paterson all have in common? they all graduate less than 50 percent of their students within four years."""
True,"""The Obama administration has used the Espionage Act to go after whistleblowers who leaked to journalists ... more than all previous administrations combined.""","""the obama administration has used the espionage act to go after whistleblowers who leaked to journalists ... more than all previous administrations combined."""
True,"""Crime in Atlanta is down 18 percent since 2009.""","""crime in atlanta is down 18 percent since 2009."""
True,"""Our economy still has three people looking for every job (opening).""","""our economy still has three people looking for every job (opening)."""
True,"""Forty percent of the country is going to be in states that are tolerant of gay marriage or at least civil unions.""","""forty percent of the country is going to be in states that are tolerant of gay marriage or at least civil unions."""
True,"""The commission form of government is definitely losing favor in the United States.""","""the commission form of government is definitely losing favor in the united states."""
False,"""Rhode Island’s teen binge drinking rate is double the national average.""","""rhode islands teen binge drinking rate is double the national average."""
True,"""60 percent of the jobs lost in the 2008 recession were living-wage jobs. Of the jobs we’ve gotten back, only 40 percent are living-wage.""","""60 percent of the jobs lost in the 2008 recession were living-wage jobs. of the jobs weve gotten back, only 40 percent are living-wage."""
False,"""We don’t show people playing these games. We don’t show them winning playing the video lottery games.""","""we dont show people playing these games. we dont show them winning playing the video lottery games."""
True,"""Texas has the highest rate of uninsured in the nation. ... And there are more uninsured children in Texas than in any other state.""","""texas has the highest rate of uninsured in the nation. ... and there are more uninsured children in texas than in any other state."""
True,"""Medicare costs have slowed down dramatically. In fact, the first two months of this fiscal year, Medicare costs were down even in nominal terms relative to the previous year.""","""medicare costs have slowed down dramatically. in fact, the first two months of this fiscal year, medicare costs were down even in nominal terms relative to the previous year."""
True,"""Whether the Amendment passes or not, the medical use of marijuana is a federal criminal offense.""","""whether the amendment passes or not, the medical use of marijuana is a federal criminal offense."""
True,"""Of the four statewide races this century within a 300-vote margin, three have been overturned in a recount.""","""of the four statewide races this century within a 300-vote margin, three have been overturned in a recount."""
False,"""Oregon leads the nation in number of jobs per capita in manufacturing.""","""oregon leads the nation in number of jobs per capita in manufacturing."""
False,"""The 'Denver Post' has actually hired an editor to promote pot.""","""the 'denver post' has actually hired an editor to promote pot."""
True,"""We pay among the highest tolls in the nation for the privilege of crossing that bridge.""","""we pay among the highest tolls in the nation for the privilege of crossing that bridge."""
True,"""The Walton family, which owns Wal-Mart, controls a fortune equal to the wealth of the bottom 42 percent of Americans combined.""","""the walton family, which owns wal-mart, controls a fortune equal to the wealth of the bottom 42 percent of americans combined."""
True,"""At present spending levels, only citizens of New York have a greater local debt burden than Texans.""","""at present spending levels, only citizens of new york have a greater local debt burden than texans."""
True,"""We, the bishops of the United States -- can you believe it -- in 1919 came out for more affordable, more comprehensive, more universal health care.""","""we, the bishops of the united states -- can you believe it -- in 1919 came out for more affordable, more comprehensive, more universal health care."""
